"STATION","NAME","LATITUDE","LONGITUDE","ELEVATION","DATE","TAVG","TAVG_ATTRIBUTES","TMAX","TMAX_ATTRIBUTES","TMIN","TMIN_ATTRIBUTES"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-04","76","H,,S","83",",,S","66",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-05","73","H,,S","83",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-07","76","H,,S","81",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-08","76","H,,S","82",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-09","78","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-10","76","H,,S","84",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-11","77","H,,S","85",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-12","73","H,,S","84",",,S","67",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-13","72","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-14","75","H,,S","82",",,S","65",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-16","71","H,,S","76",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-17","74","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-20","73","H,,S","80",",,S","59",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-21","80","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-23","76","H,,S","83",",,S","64",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-24","77","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-25","76","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-26","76","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-28","74","H,,S",,,,
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-29","77","H,,S","83",",,S","65",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-30","74","H,,S","83",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-01-31","76","H,,S","84",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-01","76","H,,S","85",",,S","60",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-02","76","H,,S","84",",,S","60",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-03","77","H,,S","86",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-04","77","H,,S","82",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-05","76","H,,S","85",",,S","63",",,S"
"DRM00078458","PUERTO PLATA, DR","19.75","-70.55","5.0","2000-02-06","76","H,,S","85",",,S","67",",,S"
